School,GPA,GRE,Program Type,Application Location,Date,Round,Post-MBA Career,Note
Berkeley / Haas,3.1,356.0,,NYC,2017-12-16,Round 1,Non Profit / Social Impact,Got a call on 12/11
Stanford GSB,3.6,354.0,,Illinois,2019-05-15,Round 3,,Deferred admissions. Call at around 1pm PST
Berkeley / Haas,3.7,348.0,,"Boston, MA",2021-05-13,Rolling Admissions,Entrepreneurship,
Yale SOM,3.62,346.0,,Los Angeles,2018-12-05,Round 1,Entrepreneurship,
MIT Sloan,3.65,340.0,Traditional Two-Year,Baku,2021-12-15,Round 1,Marketing,Salam müdirim!
Harvard Business School,3.7,340.0,Traditional Two-Year,,2021-12-09,Round 1,Non Profit / Social Impact,
Yale SOM,3.5,340.0,,DC,2017-12-06,Round 1,Marketing,finally an end to waiting! admit without interview (interviewed R3 last year)
Berkeley / Haas,3.65,340.0,Traditional Two-Year,"West Coast, USA",2023-12-11,Round 1,Technology,Got the call (with $$) on the notification day from an adcom member!
Oxford / Saïd,4.01,339.0,One Year Program,Nigeria,2024-03-08,Round 2,,
Yale SOM,3.27,339.0,,NYC,2020-03-24,Round 2,Non Profit / Social Impact,"7 years of nonprofit experience, and I got in at a top nonprofit program. So pumped! Got my call at 11:00 AM EDT"
Columbia,3.6,339.0,,,2019-02-06,Rolling Admissions,,"Submitted 12/20, Interview invite 1/11, Interview 1/28, Feedback 1/29. My stats might be high, but I have a very nontraditional background and an unusual long-term goal, so I'm relieved to get my first admit!"
Columbia,3.98,339.0,Traditional Two-Year,China,2021-10-04,Early Decision,,
MIT Sloan,3.95,338.0,,,2020-12-14,Round 1,,
Stanford GSB,3.91,338.0,,DC,2021-03-30,Round 2,Technology,Stoked! (to say the very least)
MIT Sloan,3.75,338.0,,Boston,2019-04-02,Round 2,Finance,Heard by phone at 11:48a ET. Followup via email at 4:15p ET.
Harvard Business School,3.8,338.0,Traditional Two-Year,CA,2023-03-29,Round 2,Non Profit / Social Impact,
Stanford GSB,3.8,338.0,Traditional Two-Year,CA,2023-03-28,Round 2,Non Profit / Social Impact,
Stanford GSB,3.99,338.0,Traditional Two-Year,SF,2022-03-29,Round 2,Technology,Received call around 8pm PST. Was startled because I was not expecting them to call so late.
Harvard Business School,3.9,338.0,Traditional Two-Year,,2023-12-06,Round 1,Finance,Vet - so stoked!
Harvard Business School,3.4,338.0,,Washington DC,2018-03-21,Round 2,Technology,Accepted to MS/MBA Program. Call at 1230. Determining between this and MIT LGO. Good problem to have!
Berkeley / Haas,3.4,338.0,,Washington DC,2018-03-20,Round 2,Technology,Part of early DC wave due to Diversity and Inclusion Dean being in town and throwing a reception
MIT Sloan,3.77,338.0,Traditional Two-Year,NYC,2024-04-04,Round 2,Entrepreneurship,"Received the call around 6pm ET before Decision Day. Ultra ORM from investment banking background, not expecting $$$"
Harvard Business School,3.92,338.0,Traditional Two-Year,"Washington, DC",2023-03-29,Round 2,Consulting,
Stanford GSB,3.9,338.0,,NYC,2020-05-21,Round 3,Consulting,
Berkeley / Haas,3.6,338.0,Traditional Two-Year,,2023-02-06,Round 1,Other,
MIT Sloan,3.4,338.0,,Washington DC,2018-03-02,Round 2,Technology,LGO - Dual Degree MSE/MBA
Columbia,3.0,338.0,,East Asia,2020-11-10,Early Decision,Technology,02/Oct Submission
Columbia,3.36,337.0,Traditional Two-Year,USA,2023-12-13,Round 1,Finance,
Stanford GSB,4.0,337.0,Deferred Enrollment,East Coast/ from East Asia,2022-05-26,Round 3,Non Profit / Social Impact,
Stanford GSB,4.0,337.0,Traditional Two-Year,Austin,2024-03-26,Round 2,Finance,"Received the call at 1PM CT, still trying to process it all!!"
Stanford GSB,3.6,337.0,,New York,2020-03-31,Round 2,Consulting,Still crying.
Harvard Business School,3.74,337.0,,,2020-12-10,Round 1,General Management,
MIT Sloan,4.0,337.0,Traditional Two-Year,,2024-02-29,Round 1,,MIT LGO class of 2026!!
MIT Sloan,3.95,337.0,Deferred Enrollment,Midwest,2024-06-13,Rolling Admissions,Non Profit / Social Impact,
Oxford / Saïd,3.5,337.0,One Year Program,"Bangalore , india",2022-10-26,Round 1,Consulting,
MIT Sloan,3.3,336.0,Traditional Two-Year,"Portland, OR",2021-12-15,Round 1,Consulting,Received call at 11:20 am PST. Admitted with scholarship. Beyond excited!!!
Columbia,3.92,336.0,Traditional Two-Year,USA (Midwest),2022-01-21,Rolling Admissions,Consulting,"Application submitted 11/22, interview invite 12/22, interview 1/5, interview feedback received 1/11"
MIT Sloan,3.757,336.0,,"Cambridge, MA",2020-03-02,Round 1,Technology,LGO
Stanford GSB,3.97,336.0,Traditional Two-Year,NYC,2022-03-29,Round 2,,got the call at ~2:30 EST!
Columbia,3.9,336.0,Traditional Two-Year,Atlanta,2022-10-14,Early Decision,Healthcare,"Applied on 9/2, interviewed on 9/30, and got the acceptance call today 10/14 at 5pm ET"
Yale SOM,3.16,336.0,,MA,2019-12-04,Round 1,General Management,
Yale SOM,3.36,336.0,,"Kansas City, MO",2018-03-27,Round 2,Healthcare,
Columbia,3.85,336.0,Traditional Two-Year,,2023-02-25,Round 2,General Management,
MIT Sloan,3.945,336.0,Traditional Two-Year,Bay Area,2023-03-07,Round 2,,LGO.
Harvard Business School,3.9,336.0,Traditional Two-Year,Southern California,2023-12-06,Round 1,Finance,"Service academy, Military"
Columbia,3.96,336.0,,California,2021-05-18,Rolling Admissions,Operations Management,"Deferred MBA Program, Interviewed 5/13"
Columbia,3.5,336.0,Traditional Two-Year,New York,2024-05-03,Round 1,Finance,"I submitted a letter of continued interest to state a refinement of my career goal, as well as a very detailed game plan of how to achieve the goals at CBS. I also had an additional rec letter from a CBS alum and attended a Class Visit."
Yale SOM,3.3,336.0,Traditional Two-Year,"Portland, OR",2021-12-03,Round 1,Consulting,Got the call at 8:30 am Pacific. Also gave details of scholarship over the phone. Couldn't be more excited!
Columbia,3.15,336.0,Traditional Two-Year,US,2021-12-06,Round 1,Technology,"Applied Via Consortium, Interview Feedback Submitted 11/21"
Oxford / Saïd,3.05,336.0,One Year Program,China,2023-11-26,Round 1,Finance,
Yale SOM,3.4,336.0,Traditional Two-Year,East asia,2023-12-05,Round 1,Consulting,
Stanford GSB,4.0,336.0,Traditional Two-Year,,2021-12-08,Round 1,Consulting,
MIT Sloan,3.3,335.0,Traditional Two-Year,Boston,2023-12-13,Round 1,Healthcare,Received $40K fellowship.
MIT Sloan,3.98,335.0,Traditional Two-Year,Austin Texas,2023-04-04,Round 2,Consulting,
MIT Sloan,3.57,335.0,Traditional Two-Year,Washington D.C.,2022-04-04,Round 2,Non Profit / Social Impact,Received the call at 1 pm ET.
Yale SOM,3.6,335.0,Traditional Two-Year,Southeast,2023-03-24,Round 2,Non Profit / Social Impact,
Columbia,3.5,335.0,Traditional Two-Year,,2022-05-13,Early Decision,Finance,"Application submitted: Sep. 26, 2021"
MIT Sloan,3.6,335.0,Traditional Two-Year,Boston,2022-05-19,Round 2,,Got the call this morning as well. So thrilled with this outcome! I was waitlisted after R2 then submitted one update letter and 3 letters of support.
Yale SOM,3.97,335.0,Traditional Two-Year,"Orlando, FL",2023-12-07,Round 1,Non Profit / Social Impact,Full tuition Dean's Scholarship plus Forte Fellowship!! I'm so so happy.
Stanford GSB,3.7,335.0,,Mexico,2019-03-26,Round 2,,
Columbia,3.55,335.0,,Taiwan,2021-02-25,Rolling Admissions,Consulting,"Applied 12/30, Letters of Rec submitted 1/5, interviewed 2/13, report submitted 2/15, got email early 2/26 from assistant director of admissions to check portal. All time and dates are GMT+8."
Columbia,3.8,335.0,Traditional Two-Year,USA,2023-12-13,Round 1,,
Yale SOM,3.3,335.0,Traditional Two-Year,,2023-03-24,Round 2,Entrepreneurship,Accepted to Yale SOM today with a full tuition scholarship - super pumped to start the weekend off with such great news!
Columbia,3.3,335.0,Traditional Two-Year,Boston,2023-12-13,Round 1,Healthcare,
Harvard Business School,3.7,335.0,,,2019-03-26,Round 2,,
Stanford GSB,3.8,335.0,Traditional Two-Year,"Berlin, Germany",2021-12-07,Round 1,General Management,
