School,GPA,GRE,Program Type,Application Location,Date,Round,Post-MBA Career,Note
Berkeley / Haas,3.65,340.0,Traditional Two-Year,"West Coast, USA",2023-12-11,Round 1,Technology,Got the call (with $$) on the notification day from an adcom member!
Harvard Business School,3.8,338.0,Traditional Two-Year,CA,2023-03-29,Round 2,Non Profit / Social Impact,
Stanford GSB,3.8,338.0,Traditional Two-Year,CA,2023-03-28,Round 2,Non Profit / Social Impact,
Stanford GSB,3.99,338.0,Traditional Two-Year,SF,2022-03-29,Round 2,Technology,Received call around 8pm PST. Was startled because I was not expecting them to call so late.
Harvard Business School,3.9,338.0,Traditional Two-Year,,2023-12-06,Round 1,Finance,Vet - so stoked!
MIT Sloan,3.77,338.0,Traditional Two-Year,NYC,2024-04-04,Round 2,Entrepreneurship,"Received the call around 6pm ET before Decision Day. Ultra ORM from investment banking background, not expecting $$$"
Harvard Business School,3.92,338.0,Traditional Two-Year,"Washington, DC",2023-03-29,Round 2,Consulting,
Berkeley / Haas,3.6,338.0,Traditional Two-Year,,2023-02-06,Round 1,Other,
Columbia,3.36,337.0,Traditional Two-Year,USA,2023-12-13,Round 1,Finance,
Stanford GSB,4.0,337.0,Deferred Enrollment,East Coast/ from East Asia,2022-05-26,Round 3,Non Profit / Social Impact,
Stanford GSB,4.0,337.0,Traditional Two-Year,Austin,2024-03-26,Round 2,Finance,"Received the call at 1PM CT, still trying to process it all!!"
MIT Sloan,4.0,337.0,Traditional Two-Year,,2024-02-29,Round 1,,MIT LGO class of 2026!!
MIT Sloan,3.95,337.0,Deferred Enrollment,Midwest,2024-06-13,Rolling Admissions,Non Profit / Social Impact,
Oxford / Saïd,3.5,337.0,One Year Program,"Bangalore , india",2022-10-26,Round 1,Consulting,
Columbia,3.92,336.0,Traditional Two-Year,USA (Midwest),2022-01-21,Rolling Admissions,Consulting,"Application submitted 11/22, interview invite 12/22, interview 1/5, interview feedback received 1/11"
Stanford GSB,3.97,336.0,Traditional Two-Year,NYC,2022-03-29,Round 2,,got the call at ~2:30 EST!
Columbia,3.9,336.0,Traditional Two-Year,Atlanta,2022-10-14,Early Decision,Healthcare,"Applied on 9/2, interviewed on 9/30, and got the acceptance call today 10/14 at 5pm ET"
Columbia,3.85,336.0,Traditional Two-Year,,2023-02-25,Round 2,General Management,
MIT Sloan,3.945,336.0,Traditional Two-Year,Bay Area,2023-03-07,Round 2,,LGO.
Harvard Business School,3.9,336.0,Traditional Two-Year,Southern California,2023-12-06,Round 1,Finance,"Service academy, Military"
Columbia,3.5,336.0,Traditional Two-Year,New York,2024-05-03,Round 1,Finance,"I submitted a letter of continued interest to state a refinement of my career goal, as well as a very detailed game plan of how to achieve the goals at CBS. I also had an additional rec letter from a CBS alum and attended a Class Visit."
Oxford / Saïd,3.05,336.0,One Year Program,China,2023-11-26,Round 1,Finance,
Yale SOM,3.4,336.0,Traditional Two-Year,East asia,2023-12-05,Round 1,Consulting,
MIT Sloan,3.3,335.0,Traditional Two-Year,Boston,2023-12-13,Round 1,Healthcare,Received $40K fellowship.
MIT Sloan,3.98,335.0,Traditional Two-Year,Austin Texas,2023-04-04,Round 2,Consulting,
MIT Sloan,3.57,335.0,Traditional Two-Year,Washington D.C.,2022-04-04,Round 2,Non Profit / Social Impact,Received the call at 1 pm ET.
Yale SOM,3.6,335.0,Traditional Two-Year,Southeast,2023-03-24,Round 2,Non Profit / Social Impact,
Columbia,3.5,335.0,Traditional Two-Year,,2022-05-13,Early Decision,Finance,"Application submitted: Sep. 26, 2021"
MIT Sloan,3.6,335.0,Traditional Two-Year,Boston,2022-05-19,Round 2,,Got the call this morning as well. So thrilled with this outcome! I was waitlisted after R2 then submitted one update letter and 3 letters of support.
Yale SOM,3.97,335.0,Traditional Two-Year,"Orlando, FL",2023-12-07,Round 1,Non Profit / Social Impact,Full tuition Dean's Scholarship plus Forte Fellowship!! I'm so so happy.
Columbia,3.8,335.0,Traditional Two-Year,USA,2023-12-13,Round 1,,
Yale SOM,3.3,335.0,Traditional Two-Year,,2023-03-24,Round 2,Entrepreneurship,Accepted to Yale SOM today with a full tuition scholarship - super pumped to start the weekend off with such great news!
Columbia,3.3,335.0,Traditional Two-Year,Boston,2023-12-13,Round 1,Healthcare,
Berkeley / Haas,3.7,335.0,Traditional Two-Year,"Beijing, China",2023-03-21,Round 2,Other,"got the email with a zoom meeting invite, just finished the meeting. Good luck everyone out there."
Harvard Business School,3.75,335.0,Traditional Two-Year,Chicago,2024-03-27,Round 2,Other,"Rejected from Booth and didn't get GSB call, so I was holding my breath until this very exact moment. Truly appreciate the support of this community (thanks Mike and team), and hang in there everyone!"
Berkeley / Haas,3.57,335.0,Traditional Two-Year,Washington D.c,2022-03-22,Round 2,Non Profit / Social Impact,
Columbia,3.71,335.0,Traditional Two-Year,NYC,2024-03-20,Round 2,Finance,"Got an email at 2:25, stoked to get in! IB/PE background"
Columbia,3.7,335.0,Traditional Two-Year,SF,2024-03-20,Round 2,Entrepreneurship,
Berkeley / Haas,3.32,335.0,Traditional Two-Year,Los Angeles,2023-03-21,Round 2,Entrepreneurship,Got the call around 11:45 am PT this morning! Really excited about this one! No info about scholarships given on my call either (seems in line with some other posts here)
Stanford GSB,3.81,334.0,Traditional Two-Year,Virginia,2023-12-05,Round 1,General Management,Received call at 4:30pm
Berkeley / Haas,3.9,334.0,Traditional Two-Year,Atlanta,2023-12-05,Round 1,Technology,Called at ~6p EST
Berkeley / Haas,3.81,334.0,Traditional Two-Year,,2023-12-06,Round 1,,Call 5pm EST
MIT Sloan,4.0,334.0,Traditional Two-Year,India,2023-03-08,Round 2,Operations Management,MIT LGO Program
Yale SOM,3.71,334.0,Traditional Two-Year,DC,2024-03-26,Round 2,Consulting,"Opted out of a phone call, received email 1043 ET"
Yale SOM,3.74,334.0,Traditional Two-Year,,2022-03-11,Round 2,,
Berkeley / Haas,3.71,334.0,Traditional Two-Year,DC,2024-03-19,Round 2,Non Profit / Social Impact,
Berkeley / Haas,3.55,334.0,Traditional Two-Year,Africa,2023-12-06,Round 1,Consulting,I received an email to schedule a Zoom call around 11 p.m. ET. Accepted with $80K
Stanford GSB,3.83,333.0,Traditional Two-Year,New York City,2022-12-07,Round 1,Entrepreneurship,Call from Kristen at 12:20pm EST
Columbia,3.54,333.0,Traditional Two-Year,East Coast,2022-10-20,Early Decision,Consulting,"Application Completed 8/31, Interview Invite 9/21, Interview Feedback 10/3, Accepted 10/19. My application definitely did not move quickly, but I'm very excited to be attending Columbia!"
Columbia,3.3,333.0,January Intake,Korea,2022-08-19,Rolling Admissions,,"I am admitted to Class of 2024 CBS MBA (J-term) Here is my timeline: 7/10 Completed my application, 7/25 Interview Invite, 8/10 Interview, 8/11 Feedback submitted, 8/19 Accepted via admit call"
Stanford GSB,3.8,333.0,Traditional Two-Year,San Francisco,2022-03-30,Round 2,Technology,super excited and still can't believe it. Fingers crossed for those still waiting!!
Yale SOM,3.8,333.0,Traditional Two-Year,Missouri,2022-03-28,Round 2,Healthcare,"Silver Scholars Program, interview 2/19, this is my first choice program. No phone call, just update on portal, but Yale is very...welcoming, like sending 2 welcome email per day even during weekend."
Yale SOM,3.39,333.0,Traditional Two-Year,NYC,2023-03-24,Round 2,Non Profit / Social Impact,Applied via Consortium. Interview on-campus on the first 'Super day' in early Feb. $50k scholarship
Yale SOM,4.0,333.0,Traditional Two-Year,Baku,2022-03-25,Round 2,Technology,
Oxford / Saïd,3.5,333.0,One Year Program,UK,2022-03-16,Round 3,Consulting,
Yale SOM,3.95,333.0,Traditional Two-Year,USA,2022-12-07,Round 1,Healthcare,$40K scholarship
Berkeley / Haas,3.61,333.0,Traditional Two-Year,NYC,2023-03-21,Round 2,Non Profit / Social Impact,Not clear on scholarships yet- on my status page at the bottom there’s a little table that includes “designated forte fellow” but under the column amount awarded it’s empty- anyone know what that means?
Columbia,3.8,333.0,Traditional Two-Year,"Washington, DC",2022-03-08,Round 2,Finance,Interview 2/17
Berkeley / Haas,3.39,333.0,Traditional Two-Year,NYC,2023-03-21,Round 2,Entrepreneurship,Applied via Consortium. Called Tuesday evening with the good news. I couldn't hear very well- not sure what was said re: Fellowships or scholarships.
Columbia,3.64,333.0,Traditional Two-Year,NYC,2022-02-23,Round 2,Consulting,"R2 Consortium; Interviewed 2/11, interviewer submitted feedback the same day"
Yale SOM,3.53,333.0,Traditional Two-Year,"Lagos, Nigeria",2024-03-26,Round 2,Finance,Got into the Yale MSc Asset Management as well
Yale SOM,3.6,333.0,Traditional Two-Year,US,2023-12-05,Round 1,,Accepted with $$!!! So grateful!
Stanford GSB,3.83,333.0,Traditional Two-Year,San Francisco,2024-03-26,Round 2,Technology,Received the call at 4:40 pm PT- I almost counted myself out! 🎉
MIT Sloan,4.0,333.0,Traditional Two-Year,"Boston, MA",2024-02-27,Round 1,Healthcare,MIT LGO. Stoked to have gotten the call!
Berkeley / Haas,3.5,333.0,Traditional Two-Year,East Coast,2023-12-07,Round 1,General Management,Thrilled with 50% scholarship
Yale SOM,3.62,333.0,Traditional Two-Year,Boston,2024-05-16,Round 3,Consulting,Applied for R2 but got waitlisted. Received a call around 9 am this morning. Never lose hope!
Yale SOM,3.5,333.0,Traditional Two-Year,,2023-12-05,Round 1,General Management,"Received text, will receive additional info (e.g., scholarship) in portal at 5"
Harvard Business School,3.8,333.0,Traditional Two-Year,San Francisco,2024-05-29,Round 2,Technology,"Admitted off the waitlist today! Happy and grateful, deciding between HBS and the GSB."
Berkeley / Haas,3.81,332.0,Deferred Enrollment,USA,2023-06-20,Round 1,,"Deferred applicant, admitted today over phone & on portal!! Super stoked!"
Columbia,3.22,332.0,Traditional Two-Year,,2023-12-13,Round 1,Consulting,
Columbia,3.22,332.0,Traditional Two-Year,,2023-12-13,Round 1,Consulting,
MIT Sloan,3.5,332.0,Traditional Two-Year,Washington DC,2023-04-03,Round 3,Technology,"got an email admitting from early admit group - has anyone heard about scholarships? if there wasn't reference to one, is it safe to assume I didn't get anything?"
MIT Sloan,3.74,332.0,Traditional Two-Year,East Coast,2023-12-12,Round 1,Non Profit / Social Impact,
Harvard Business School,3.82,332.0,Traditional Two-Year,Seattle,2023-03-29,Round 2,Non Profit / Social Impact,over the freaking moon. now just need to decide how much debt i can swallow! got into cbs and yale som with scholarship but assuming i won't get any at hbs.
Yale SOM,3.82,332.0,Traditional Two-Year,Seattle,2023-03-24,Round 2,,Accepted w 80K fellowship (comes out to about 50% of tuition covered!) Super happy. So far also been accepted at Columbia and rejected at Haas. Still waiting on Stanford and HBS.
Columbia,3.8,332.0,Traditional Two-Year,Los Angeles,2023-12-13,Round 1,Entrepreneurship,Received an email about an update on the portal this morning around 8am PST. No info about scholarships. Super excited!
Harvard Business School,3.8,332.0,Traditional Two-Year,Boston,2024-03-27,Round 2,General Management,"Deferred from R1, then interviewed and accepted in R2. Literally cried and over the moon now. Debating between $$$ at Wharton and HBS (leaning towards the latter!)"
Stanford GSB,3.4,332.0,Traditional Two-Year,,2024-03-27,Round 2,Entrepreneurship,So happy!!!!! Cried and called my family about it.
Berkeley / Haas,3.96,332.0,Traditional Two-Year,San Francisco,2024-03-19,Round 2,Consulting,
Yale SOM,2.6,332.0,Traditional Two-Year,"Lima, Peru",2024-03-26,Round 2,Consulting,I got the call around 11:45 ET
Columbia,3.91,332.0,Traditional Two-Year,,2023-02-28,Rolling Admissions,,Right on schedule - asked to interview 4 weeks after submitting my application and decision 2 more weeks after that.
Columbia,3.82,332.0,Traditional Two-Year,,2023-02-24,Round 2,Non Profit / Social Impact,"Submitted 1/11, interviewed 1/14, feedback submitted 1/15, accepted 1/23"
Yale SOM,3.8,332.0,Traditional Two-Year,Los Angeles,2023-12-05,Round 1,Entrepreneurship,Interviewed on campus. Received $$$$
Columbia,3.78,332.0,Traditional Two-Year,India,2022-09-02,Rolling Admissions,,"Received an admit finally to my dream school. This is my 3rd season applying and I’ve finally made it after 12 rejections over the last couple of years. Big thanks to the community. I’d like to give a shout out to Alex, Graham and Eliot for all they do on this site."
Stanford GSB,3.6,331.0,Traditional Two-Year,NYC,2023-12-05,Round 1,Consulting,
Columbia,3.65,331.0,Traditional Two-Year,Texas,2024-03-12,Round 2,Technology,"Got accepted to the MBAxMS program! Received email to check portal update at 1:36PM EST. Was not the email I was expecting today, still waiting on the fuqua call lol"
Yale SOM,3.47,331.0,Traditional Two-Year,"New York, NY",2022-03-25,Round 2,Consulting,Accepted with Dean's Scholarship $$ & Fellowship!
MIT Sloan,3.45,331.0,Traditional Two-Year,Texas,2022-12-14,Round 1,Healthcare,Just got a call from adcom this morning (CT)! They said official notice will go out at 3pm ET
MIT Sloan,3.71,331.0,Traditional Two-Year,,2024-02-27,Round 1,Consulting,MIT LGO!!
Columbia,3.91,331.0,Traditional Two-Year,New York,2023-12-13,Round 1,Finance,
Yale SOM,3.69,331.0,Traditional Two-Year,,2024-03-26,Round 2,Consulting,
Columbia,3.7,331.0,January Intake,India/US,2023-09-20,Rolling Admissions,Finance,
Stanford GSB,3.7,331.0,Traditional Two-Year,Mid-West,2024-03-26,Round 2,Consulting,
Stanford GSB,3.7,331.0,Traditional Two-Year,Midwest,2024-03-26,Round 2,Consulting,
Yale SOM,3.6,331.0,Traditional Two-Year,New York City,2023-12-05,Round 1,Consulting,
Yale SOM,3.6,331.0,Traditional Two-Year,East Coast,2022-12-06,Round 1,,Accepted with scholarship. Super happy!
Columbia,3.34,331.0,Traditional Two-Year,,2024-03-20,Round 2,,Email about a portal update came 2:25EST
Harvard Business School,3.7,331.0,Traditional Two-Year,,2024-03-27,Round 2,Consulting,Accepted to the MS/MBA program!
Columbia,3.81,331.0,Traditional Two-Year,,2022-02-01,Rolling Admissions,Non Profit / Social Impact,"Applied 12/30, interview invite 1/21, interview 1/26, accepted 1/31 — thrilled!"
Columbia,3.0,331.0,Traditional Two-Year,Sputh,2022-02-24,Round 2,Finance,
Yale SOM,3.6,331.0,Traditional Two-Year,Alaska,2022-12-06,Round 1,Consulting,Received the call a 12:50 super excited got in with scholarship
Columbia,3.69,331.0,Traditional Two-Year,New York City,2024-03-20,Round 2,Consulting,No scholarship info included in portal letter
MIT Sloan,3.6,331.0,Traditional Two-Year,New York,2023-12-12,Round 1,Consulting,
Harvard Business School,3.3,331.0,Traditional Two-Year,Nigeria,2023-03-29,Round 1,Consulting,Super excited to be accepted from the waitlist.
Stanford GSB,3.88,331.0,Traditional Two-Year,"Orange County, CA",2023-12-05,Round 1,Technology,
MIT Sloan,3.7,331.0,Traditional Two-Year,Asia,2023-12-11,Round 1,Technology,I missed the call but called her back. It was my interviewer!
MIT Sloan,3.656,331.0,Traditional Two-Year,,2024-06-20,Round 2,Technology,"R2 WL, Accepted to Booth and Columbia as well"
Yale SOM,3.56,331.0,Traditional Two-Year,,2023-03-24,Round 2,Consulting,
MIT Sloan,3.65,331.0,Traditional Two-Year,Alaska,2022-12-14,Round 1,Consulting,
Columbia,3.8,331.0,Traditional Two-Year,NY,2023-12-13,Round 1,,
MIT Sloan,3.47,331.0,Traditional Two-Year,"New York, NY",2022-04-04,Round 2,Technology,
Berkeley / Haas,3.8,331.0,Traditional Two-Year,Texas,2023-12-05,Round 1,Consulting,Enlisted Military
Berkeley / Haas,3.67,331.0,Traditional Two-Year,,2022-05-11,Round 3,,
Berkeley / Haas,3.6,331.0,Traditional Two-Year,Washington DC,2023-03-23,Round 2,Consulting,Got the call 6:15pm today. Very last minute but good news never too late. I guess they are still calling out. Don's lose hope and good luck for you all!
MIT Sloan,3.7,331.0,Traditional Two-Year,NYC,2023-04-03,Round 2,,
Columbia,3.79,330.0,Traditional Two-Year,NYC,2023-03-09,Rolling Admissions,Technology,"Applied through Consortium (R2) - interviewed 2/6, feedback submitted the same day. Got an email just now saying there was a status update on my portal. No mention of Consortium Fellowship or other funding."
Stanford GSB,3.47,330.0,Traditional Two-Year,Florida,2022-12-16,Round 1,Non Profit / Social Impact,Service Academy Veteran
Columbia,3.5,330.0,Traditional Two-Year,,2023-02-17,Rolling Admissions,Other,"Interview 2/3, feedback 2/6"
Harvard Business School,3.8,330.0,Traditional Two-Year,US | Abroad,2022-12-08,Round 1,Non Profit / Social Impact,reminding myself that it's not a dream
MIT Sloan,3.34,330.0,Traditional Two-Year,Boston,2024-04-03,Round 2,Technology,
Stanford GSB,3.6,330.0,Traditional Two-Year,Africa,2023-03-28,Round 2,Consulting,
Harvard Business School,3.9,330.0,Traditional Two-Year,,2022-03-30,Round 2,,
Berkeley / Haas,3.72,330.0,Traditional Two-Year,Asia,2023-04-13,Round 2,Consulting,
Stanford GSB,4.0,330.0,Traditional Two-Year,Hawaii,2023-03-28,Round 2,Non Profit / Social Impact,
Berkeley / Haas,3.7,330.0,Traditional Two-Year,,2023-12-06,Round 1,,
Columbia,3.39,330.0,Traditional Two-Year,,2022-10-11,Early Decision,,Submitted 7/19; Interview invite 8/6; Interview 8/12; Feedback submitted 8/14; Accepted 8/26
Berkeley / Haas,3.77,330.0,Traditional Two-Year,New York City,2023-12-06,Round 1,Technology,Applied via Consortium. Received fellowship.
Berkeley / Haas,3.7,330.0,Traditional Two-Year,,2023-12-06,Round 1,,Recieved call at 4pm ET
Yale SOM,3.8,330.0,Traditional Two-Year,New York,2023-03-24,Round 2,Healthcare,$60K scholarship! So excited!!
Yale SOM,3.77,330.0,Traditional Two-Year,Vietnam,2023-03-24,Round 2,Marketing,
Harvard Business School,3.73,330.0,Traditional Two-Year,New York,2023-12-06,Round 1,Entrepreneurship,
Stanford GSB,3.4,330.0,Traditional Two-Year,Davis,2022-03-10,Round 2,Finance,"This is the best day of my life! After getting rejected from Harvard, I thought I would never get anywhere in life."
Columbia,3.8,330.0,Traditional Two-Year,New York,2023-03-09,Rolling Admissions,Healthcare,"THRILLED! Timeline - Applied late Oct, interviewed in Dec, waitlisted early Jan."
Yale SOM,3.2,330.0,Traditional Two-Year,USA,2023-12-05,Round 1,Consulting,
Stanford GSB,3.7,330.0,Traditional Two-Year,East Coast,2024-03-26,Round 2,,Screaming. crying. throwing up. didn't think I'd make it :) keep the hope alive folks!
Stanford GSB,3.7,330.0,Traditional Two-Year,Los Angeles,2023-12-05,Round 1,Other,
Berkeley / Haas,3.5,330.0,Traditional Two-Year,DC,2023-03-21,Round 2,Healthcare,
Stanford GSB,3.7,330.0,Traditional Two-Year,Southeast US,2023-12-05,Round 1,,
MIT Sloan,3.4,329.0,Traditional Two-Year,NYC,2022-12-14,Round 1,Finance,Got the call from my interviewer at 12:49pm ET! She said portal will update 3pm ET. No $$
Harvard Business School,3.29,329.0,Traditional Two-Year,US West Coast,2023-03-30,Round 2,Consulting,Navy Vet
Harvard Business School,3.65,329.0,Traditional Two-Year,,2023-03-29,Round 2,,I'm still in shock... oh my god...
Stanford GSB,3.86,329.0,Traditional Two-Year,"Boston, MA",2023-03-28,Round 2,,Call from adcom at 2:30pm ET. Was a 650 number. Good luck everyone!
Columbia,3.7,329.0,January Intake,NYC,2022-10-06,Rolling Admissions,Technology,"J-term applicant. Submitted 31 Aug, interview invite 21 Sep, interview 30 Sep, and accepted 6 Oct. Good luck to all waiting to hear back, and I hope to see you on campus!"
Yale SOM,3.7,329.0,Traditional Two-Year,East Coast (USA),2023-03-24,Round 2,Consulting,
MIT Sloan,3.9,329.0,Traditional Two-Year,Boston,2022-12-13,Round 1,Technology,Accepted LGO candidate for CS MS/MBA program. Good luck everyone!
Columbia,3.65,329.0,Traditional Two-Year,,2023-02-22,Rolling Admissions,,"Applied 1/11, interviewed 2/10, feedback submitted 2/10, accepted 2/22."
Harvard Business School,3.86,329.0,Traditional Two-Year,New York,2023-12-07,Round 1,General Management,
Berkeley / Haas,3.35,329.0,Traditional Two-Year,New York,2024-03-20,Round 2,,
Columbia,3.5,329.0,Traditional Two-Year,,2024-03-20,Round 2,Healthcare,
Berkeley / Haas,3.4,329.0,Traditional Two-Year,New Yok,2024-03-21,Round 2,Finance,
Stanford GSB,3.85,329.0,Traditional Two-Year,Nicaragua,2024-03-26,Round 2,Entrepreneurship,
Harvard Business School,3.85,329.0,Traditional Two-Year,Central América,2024-03-28,Round 2,Entrepreneurship,
MIT Sloan,3.75,329.0,Traditional Two-Year,"Washington, DC",2024-05-10,Round 2,Technology,"I visited campus after being waitlisted, did a class visit, and networked with alumni. I did not submit any additional materials. Thrilled to be accepted!"
MIT Sloan,3.34,329.0,Traditional Two-Year,India,2023-04-04,Round 2,Consulting,
Yale SOM,3.6,329.0,Traditional Two-Year,New York,2023-05-18,Round 3,Consulting,
MIT Sloan,3.7,329.0,Traditional Two-Year,International,2022-05-19,Round 3,Technology,Over the moon now!!! Best news ever! Still in total disbelief
Columbia,4.0,329.0,Deferred Enrollment,,2022-05-07,Rolling Admissions,Healthcare,interviewed 5/2! super happy!
Columbia,3.88,328.0,Traditional Two-Year,New York,2024-03-20,Round 2,Other,
Columbia,3.7,328.0,Traditional Two-Year,New York,2023-12-13,Round 1,Entrepreneurship,"Does anyone know when they are sending financial aid information? I have a merit scholarship from another school, but it's hard to make any decision without the financial considerations...."
MIT Sloan,3.8,328.0,Traditional Two-Year,"Memphis, TN",2024-02-27,Round 1,Operations Management,LGO Class of 2026
Columbia,3.4,328.0,January Intake,USA,2024-07-19,Round 1,,
Berkeley / Haas,3.8,328.0,Traditional Two-Year,U.S.,2024-03-25,Round 2,Technology,MBA/MEng
Stanford GSB,3.4,328.0,Traditional Two-Year,"Brooklyn, NY",2024-03-26,Round 2,Entrepreneurship,Received the call at 4:01pm!!! I was sweating and shaking so bad
Yale SOM,3.6,328.0,Traditional Two-Year,USA,2022-12-06,Round 1,Consulting,
Columbia,3.5,328.0,Traditional Two-Year,Hong Kong,2022-05-29,Round 2,Finance,"Applied: 7 April, Interview Invite: 22 April, Interview: May 13, Interview Feedback Submitted: May 23, Email acceptance from admissions/ Portal Update: 25 May. Absolutely over the moon to be able to attend my dream school!"
Harvard Business School,3.4,328.0,Traditional Two-Year,San Francisco,2022-03-30,Round 2,Entrepreneurship,"29F URM (Puerto Rican), FAANG PM (supervised other PMs), want to innovate in privacy tech."
Oxford / Saïd,3.9,328.0,One Year Program,Chicago,2022-10-26,Round 1,Healthcare,Interviewed with them on 10.05
Yale SOM,3.9,328.0,Traditional Two-Year,NYC,2022-03-29,Round 2,,No call this round. Portal update around 1pm EST.
Berkeley / Haas,3.7,328.0,Traditional Two-Year,Michigan,2022-03-23,Round 1,General Management,accepted via phone call with scholarship $!!
Berkeley / Haas,3.4,328.0,Traditional Two-Year,San Francisco,2022-03-14,Round 2,Entrepreneurship,"Underrepresented minority, Facebook PM"
Stanford GSB,3.92,328.0,One Year Program,SF Bay Area,2022-12-08,Round 1,Entrepreneurship,I almost lost hope but got the phone call around 10am PST from Mike. Based in SF Bay Area here.
MIT Sloan,3.64,328.0,Traditional Two-Year,United States,2022-12-14,Round 1,Entrepreneurship,"LGO applicant, accepted on 12/13 by phone call, portal hasn't yet updated as of 12/14 at 3:45 ET"
Stanford GSB,3.4,328.0,Traditional Two-Year,Texas,2023-12-06,Round 1,Entrepreneurship,Reapplied after no interview last year
Berkeley / Haas,3.8,328.0,Traditional Two-Year,LA,2023-03-22,Round 2,,
Berkeley / Haas,3.4,328.0,Traditional Two-Year,NYC,2023-03-23,Round 2,,"Got the call at 6:45 EST yesterday. Absolutely thrilled! Had a great and very personalized conversation with an admissions officer. Scholarship info is to come out later today. For the record, I got the invite to the mock class but did not attend. Admit weekend is 4/20-4/22. Happy to answer any other questions! Good luck to everyone still waiting!"
MIT Sloan,3.75,327.0,Traditional Two-Year,Boston,2023-05-17,Round 1,Consulting,"WL R1 and R2, accepted R3 today! my advice for anyone on a waitlist is to let a school know if you will 100% attend if accepted and show interest - go to events, speak with alumni, and send thoughtful waitlist letters (describing these efforts) ~1X/month if the adcom is open to them!"
Stanford GSB,3.95,327.0,Traditional Two-Year,NYC,2024-03-26,Round 2,Technology,
Yale SOM,3.76,327.0,Traditional Two-Year,Houston,2023-12-05,Round 1,Healthcare,
Stanford GSB,4.0,327.0,Deferred Enrollment,California,2024-05-22,Round 3,,
Yale SOM,3.6,327.0,Traditional Two-Year,,2023-12-05,Round 1,,
Columbia,3.75,327.0,Traditional Two-Year,Boston,2023-01-12,Rolling Admissions,Consulting,
Columbia,3.7,327.0,Traditional Two-Year,,2023-02-20,Round 2,Finance,date of application: 12/24
